danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_min,tempo_scaled,playlist_genre,playlist_subgenre,processed_playlist_name,playlist_length,playlist_word_count,playlist_sentiment,playlist_subgenre_first_word,playlist_subgenre_last_word,processed_track_name,track_length,track_word_count,track_sentiment,processed_track_artist,artist_length,artist_word_count,artist_sentiment,processed_track_album_name,album_length,album_word_count,album_sentiment,track_album_release_year,track_album_release_month,track_album_release_day
0.764,0.826,7,-5.993,1,0.119,0.201,0.0,0.405,0.849,3.74,-0.591211388535323,3.0,9.0,183.0,7,2,0.0,8.0,5.0,15622.0,12,3,0.0,5182.0,10,2,0.0,3536.0,10,1,0.0,2017,11,8
0.717,0.665,9,-9.503,1,0.0523,0.0659,0.0,0.326,0.774,5.8,-0.5649414245524347,3.0,23.0,1.0,73,3,0.0,21.0,0.0,5671.0,26,5,-0.3,6313.0,10,1,0.0,8641.0,21,2,0.0,1975,12,15
0.722,0.728,10,-4.458,0,0.0601,0.198,0.0,0.482,0.509,4.74,0.0802518634233456,4.0,8.0,180.0,18,3,0.0,8.0,3.0,2813.0,20,2,0.0,6545.0,11,2,0.0,2724.0,20,2,0.0,2017,6,16
0.81,0.541,11,-8.019,1,0.0552,0.175,0.0,0.0691,0.701,2.9,-0.5906540342782602,1.0,22.0,389.0,14,2,0.0,20.0,14.0,8243.0,8,2,0.0,6311.0,5,1,0.0,7447.0,8,2,0.0,2019,5,3
0.853,0.688,8,-6.509,0,0.296,0.0118,0.0,0.151,0.565,2.78,1.0818174633650153,4.0,21.0,373.0,14,2,0.0,19.0,13.0,4835.0,9,2,0.0,2959.0,6,1,0.0,12382.0,12,2,0.3333333333333333,2017,10,20
0.461,0.448,4,-6.955,0,0.0562,0.607,0.0,0.288,0.222,5.64,0.8663071506341047,2.0,10.0,98.0,19,3,0.0,9.0,6.0,4020.0,4,1,0.0,2409.0,4,1,0.0,12813.0,16,3,0.2,2016,8,19
0.506,0.412,7,-5.64,1,0.137,0.667,0.0,0.0983,0.195,3.21,1.9402544900929843,3.0,23.0,308.0,20,2,0.1666666666666666,21.0,0.0,4951.0,14,2,0.0,3894.0,12,2,0.0,4622.0,14,2,0.0,2018,3,26
0.632,0.956,1,-1.512,1,0.293,0.00242,0.469,0.634,0.189,4.2,0.2662595574804031,4.0,21.0,378.0,11,2,0.0,19.0,13.0,1103.0,13,2,0.0,2127.0,11,2,0.0,4363.0,5,1,0.0,2018,12,4
0.819,0.623,8,-5.954,1,0.0957,0.122,0.000213,0.0892,0.554,2.39,-1.6320518851246777,4.0,21.0,384.0,18,2,0.0,19.0,13.0,7536.0,36,7,0.0,904.0,8,1,0.0,6820.0,36,7,0.0,2019,8,2
0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,4.23,-0.1304280457463545,5.0,2.0,328.0,12,2,0.1666666666666666,2.0,9.0,4531.0,33,5,0.0,6522.0,6,1,0.0,12501.0,13,1,0.0,1983,6,1
