track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,track_popularity,duration_min,tempo_scaled
1Y373MqadDRtclJNdnUXVc,0.415,0.658,4,-12.051,0,0.0696,4.52e-05,0.000735,0.176,0.45,68,2.81,1.564969290337433
40WzXFabdkT1KCgRYwoz8X,0.655,0.884,6,-6.515,0,0.0602,0.0102,0.0,0.259,0.772,1,3.65,0.7100993308546665
3irumzUB7UlJqoVZCqR3kI,0.847,0.696,5,-6.113,0,0.0642,0.052,0.00402,0.0795,0.763,33,3.05,0.7349944876701332
1c6WvcGhLnOCjxFNOvQ2k6,0.596,0.91,9,-5.937,0,0.0385,0.000629,0.00137,0.178,0.484,0,3.04,0.2625438624333187
5c5nIaR4AlqYK1cZhCBOKH,0.877,0.665,1,-6.116,1,0.0538,0.406,3.53e-05,0.232,0.143,45,3.32,0.04112559457754427
7j984GrN3brJOMNzXmffg7,0.74,0.494,6,-12.662,0,0.0912,0.282,0.862,0.102,0.829,0,1.73,-1.4092959670519527
0LNXVezPVx0n1dSyTFKpor,0.856,0.517,7,-7.926,1,0.247,0.4,0.0,0.098,0.43,28,3.53,0.8953267289518361
5yGTQzYbEdY6B9RFZJypgt,0.707,0.759,11,-12.328,0,0.046,0.0769,2.84e-05,0.0775,0.955,64,3.82,-0.21384539955340534
6F4kIwgUAFU87bqpga91TR,0.526,0.526,9,-6.287,1,0.0253,0.702,0.0,0.0738,0.248,1,3.28,0.7304984966631604
66TSoVnJ1P9Tyok03zUlTr,0.666,0.733,9,-5.884,1,0.0563,0.138,0.000349,0.0892,0.597,52,5.08,-0.7074383296081311
4eO9fpVqqswS43IVM8PYbb,0.513,0.956,5,-3.189,0,0.0411,0.00647,0.11,0.474,0.335,19,3.4,0.2651076920158077
6NSMQFKgjpQb0KkjMDYIK0,0.815,0.514,6,-9.446,0,0.361,0.54,0.0,0.611,0.623,69,4.4,-0.03133045884060668
0JM7QnigP9A1jijogNpun0,0.901,0.795,8,-4.197,1,0.261,0.0368,0.0,0.0933,0.825,57,1.76,1.0806284409499478
4wpBgGZWcMPQA1iusHwl2t,0.521,0.678,9,-6.811,1,0.0354,0.0811,0.0,0.118,0.504,0,3.31,0.035329110304091985
4SJHHpKhcuXwDsCsPqshXj,0.849,0.781,0,-4.635,0,0.159,0.406,0.0,0.0801,0.893,78,3.62,-1.369463716147205
11PKEBCjw8OCK5YUo9vm0H,0.495,0.993,7,-3.014,1,0.145,0.000151,0.0,0.368,0.29,68,3.37,1.0781017683179308
54CO2VulHs86lUBCnuuGZc,0.72,0.56,8,-8.928,1,0.0527,0.00781,4.44e-06,0.0744,0.324,29,4.08,-0.662515576488878
5KRSA9ovjY9qns7qKHnnSC,0.763,0.712,8,-10.213,0,0.132,0.341,0.000233,0.125,0.872,48,3.34,1.4514176496985265
1KdGSnUj7Zr1XdTbyuSr7T,0.549,0.865,1,-3.486,0,0.0625,0.000482,0.0,0.0512,0.434,53,3.33,0.7104337434089035
297rZsBEjFw9d0Gl3iBLnd,0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,45,2.44,0.6435140756109092
296Gigd8C1sX7RgfCK4YgV,0.637,0.992,7,-2.356,1,0.137,0.00368,0.257,0.139,0.317,33,4.1,0.18808133368974247
7LcfRTgAVTs5pQGEQgUEzN,0.722,0.758,11,-4.477,0,0.0471,0.0111,0.0,0.308,0.62,70,3.35,0.2656650462728699
6PsThaFJEeaKMokhSPINnY,0.783,0.738,7,-4.878,1,0.0343,0.00916,0.000189,0.0726,0.501,41,3.53,0.18841574624398008
694WTOYVnKjIF2SpGK820u,0.87,0.463,0,-10.959,1,0.359,0.0555,0.0,0.314,0.446,21,2.65,-0.40330869000425174
74y7rve8M2xupgDTSj09VO,0.589,0.889,7,-7.277,1,0.0415,0.505,2.15e-05,0.151,0.722,36,2.82,-0.3002724663485943
5b2NgPj4WBjBW1uLbl2v9p,0.908,0.901,4,-5.093,0,0.216,0.147,1.75e-06,0.266,0.422,19,4.84,-0.8384537369683366
2f0P7iELCvAlV8j6Z3rGDE,0.484,0.711,2,-7.784,1,0.0331,0.0183,0.173,0.0941,0.49,66,8.38,1.0140803426566618
