track_id,track_popularity,track_album_id,processed_track_name,track_length,track_word_count,track_sentiment,processed_track_artist,artist_length,artist_word_count,artist_sentiment,processed_track_album_name,album_length,album_word_count,album_sentiment,track_album_release_year,track_album_release_month,track_album_release_day
1Y373MqadDRtclJNdnUXVc,68,6r7LZXAVueS5DqdrvXJJK7,paranoid 2016 remaster,22,3,0.0,black sabbath,13,2,-0.16666666666666666,paranoid 2014 remaster,22,3,0.0,1970,9,18
40WzXFabdkT1KCgRYwoz8X,1,0y01fluOw7z4BxN06InlRr,generation love,15,2,0.5,masterboy,9,1,0.0,generation love,15,2,0.5,1995,1,1
3irumzUB7UlJqoVZCqR3kI,33,3kGbxqlVl3LqjifxlubtcT,know,4,1,0.0,amy winehouse,13,2,0.0,frank,5,1,0.0,2003,10,20
1c6WvcGhLnOCjxFNOvQ2k6,0,4r7JVstGyUSzAi7WHQPlaf,front eye radio edit,20,4,0.0,garmiani,8,1,0.0,front eye,9,2,0.0,2012,6,18
5c5nIaR4AlqYK1cZhCBOKH,45,7tRMfG7SsfmnDZyRckouaJ,plaqtudum frijo negro dub remix,31,5,0.0,recayd mob,10,2,0.0,plaqtudum frijo negro dub remix,31,5,0.0,2019,12,13
7j984GrN3brJOMNzXmffg7,0,69xGuJEhln7TnmNSIRq5V3,wander,6,1,0.0,joeshort,8,1,0.0,wander,6,1,0.0,2018,3,11
0LNXVezPVx0n1dSyTFKpor,28,2MmKamBua41RBNXGssbAR8,2020 vision,11,2,0.0,kyzer,5,1,0.0,2020 vision,11,2,0.0,2020,1,3
6F4kIwgUAFU87bqpga91TR,1,1dO3EZspn36GkTEuSYJVTK,tensionado,10,1,0.0,soapdish,8,1,0.0,soapdish reloaded,17,2,0.0,2006,9,12
66TSoVnJ1P9Tyok03zUlTr,52,731Q7pBo9WEQyM52gUe0kJ,hip,3,1,0.0,tower power,11,2,0.0,tower power,11,2,0.0,1973,5,1
4eO9fpVqqswS43IVM8PYbb,19,6kvatc1swEPVSatPUV2k5K,world dream feat mary jane smith radio edit,43,8,0.0,galavant,8,1,0.0,world dream feat mary jane smith radio edit,43,8,0.0,2014,6,9
6NSMQFKgjpQb0KkjMDYIK0,69,12yPsAPzZ5584HxpItKBUn,tu vive asi feat mambo kingz dj luian,37,8,0.0,arcangel,8,1,0.0,tu vive asi feat mambo kingz dj luian,37,8,0.0,2016,9,30
0JM7QnigP9A1jijogNpun0,57,3VQuuzb980WzIV29yv4oeq,dababy,6,1,0.0,dfideliz,8,1,0.0,dababy,6,1,0.0,2019,11,8
4SJHHpKhcuXwDsCsPqshXj,78,6C8ObcezFoorqPgY2J320r,el efecto,9,2,0.0,rauw alejandro,14,2,0.0,el efecto,9,2,0.0,2019,3,15
11PKEBCjw8OCK5YUo9vm0H,68,3NbMetTUDydMRSTJzAG7MU,full circle,11,2,0.35,five finger death punch,23,4,0.0,full circle,11,2,0.35,2020,1,3
54CO2VulHs86lUBCnuuGZc,29,2hsxoaUJi544tpjXEbotwx,false alarm justice skolnik remix,33,5,-0.4000000000000001,matoma,6,1,0.0,false alarm remixes vol ii,26,5,-0.4000000000000001,2016,10,7
5KRSA9ovjY9qns7qKHnnSC,48,6VAZR6xjTbBxJryzXaaomZ,4am,3,1,0.0,ocean wisdom,12,2,0.0,4am,3,1,0.0,2019,7,17
1KdGSnUj7Zr1XdTbyuSr7T,53,5dWDdM416kzNTDKZEEvRUz,freaking,8,1,0.0,wreck,5,1,0.0,freaking,8,1,0.0,2019,6,21
297rZsBEjFw9d0Gl3iBLnd,45,31u58iuxrUOJeKJj4SKqOl,goodie bag,10,2,0.0,still woozy,11,2,0.0,goodie bag,10,2,0.0,2017,11,5
296Gigd8C1sX7RgfCK4YgV,33,1PDBZG9XClqNODe9S0I79n,mork,4,1,0.0,bloody beetroot,15,2,-0.8,heavy,5,1,-0.2,2019,6,21
6PsThaFJEeaKMokhSPINnY,41,5kSG2QMNAxjKdEcqMVks4T,go sleep wahlstedt remix,24,4,0.0,john de sohn,12,3,0.0,go sleep remixes,16,3,0.0,2018,6,15
694WTOYVnKjIF2SpGK820u,21,6MsiJwXmcWP66MYdmTMtML,import,6,1,0.0,chase,5,1,0.0,import single,13,2,-0.07142857142857142,2015,8,13
74y7rve8M2xupgDTSj09VO,36,6CkUizIuE5xqy2MwfkbsCM,good time gone,14,3,0.7,kink,4,1,0.0,kink kontroversy,16,2,0.0,1965,11,26
5b2NgPj4WBjBW1uLbl2v9p,19,6xLyv6QON3hOuKiqRKvNOw,new jack swing ii hard version,30,6,-0.07765151515151517,wreckxneffect,13,1,0.0,hard smooth,11,2,0.05416666666666667,1992,1,1
5GjisoOfsN8qagrax01T4y,58,27ThgFMUAx3MXLQ297DzWF,wan na,6,2,-0.2,internet,8,1,0.0,hive mind,9,2,0.0,2018,7,20
3GBQNAsF37XS3r31EJqS7T,38,7kDL5PICHHrHx0Qn6JmGOA,blue girl,9,2,0.0,chromatics,10,1,0.0,blue girl,9,2,0.0,2018,6,12
5KQDGl3vAkNGyfvSbaW89E,58,4M2p2BIRHIeBu8Ew9IBQ0s,im good,7,2,0.7,mowglis,7,1,0.0,kid love,8,2,0.5,2015,4,14
0BtHsciM5qkTGyJ2cGszRk,19,0KpqsZMjKIc4JiKKkKas6o,overdose,8,1,0.0,semser,6,1,0.0,overdose,8,1,0.0,2019,1,2
